No,Keyword,Volume,Position,Est. Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
20,"성착취",720,47,2,"₩0.00",1,31,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-1658"
21,"통 매음 무혐의 사례",720,7,18,"₩4.89",31,15,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4883"
22,"성범죄 신상 공개",720,33,2,"₩1.64",5,15,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2210"
23,"통매음 헌터",720,27,2,"₩29.03",14,23,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-32384"
24,"이수 성범죄",590,90,1,"₩0.00",1,19,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-9605"
25,"만 16세 이상 합의",590,25,1,"₩8.33",15,33,"https://www.lawandgood.com/posts/legal-wiki/%EC%84%B1%EB%B2%94%EC%A3%84/lw-62"
26,"위계 뜻",590,22,1,"₩0.00",1,18,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4272"
27,"특정 성",590,8,15,"₩1.73",1,19,"https://www.lawandgood.com/posts/lawyer-column/%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90-%EB%AA%A8%EC%9A%95/lc-823"
28,"특정성 성립",590,4,39,"₩1.01",4,20,"https://www.lawandgood.com/posts/lawyer-column/%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90-%EB%AA%A8%EC%9A%95/lc-823"
29,"특정성",590,9,15,"₩1.73",1,32,"https://www.lawandgood.com/posts/lawyer-column/%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90-%EB%AA%A8%EC%9A%95/lc-823"
30,"지인 합성 처벌 디시",590,32,1,"₩0.00",2,6,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-22984"
31,"음란물 유포 죄",480,21,1,"₩30.81",36,24,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4922"
32,"사이버 명예훼손 사례",480,33,1,"₩0.45",10,17,"https://www.lawandgood.com/posts/lawyer-column/%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90-%EB%AA%A8%EC%9A%95/lc-6828"
33,"트위터 간단 경찰",480,3,47,"₩17.86",2,37,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-1070"
34,"아청",480,11,5,"₩16.32",9,34,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4355"
35,"카촬죄",480,10,12,"₩36.56",56,49,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4966"
36,"추행",480,24,1,"₩2.61",9,10,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-199"
37,"무고죄 합의금",390,36,1,"₩1.77",13,22,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-28672"
38,"위력",390,18,2,"₩0.00",1,31,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4272"
39,"강제 추행죄",390,32,1,"₩8.22",41,36,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-832"
40,"법무 법인 정세",320,79,1,"₩4.70",6,15,"https://www.lawandgood.com/posts/quotation-content/%EB%B6%80%EB%8F%99%EC%82%B0-%EB%A7%A4%EB%A7%A4/qc-16117"
41,"거짓말탐지기 조사후기",320,8,6,"₩0.32",5,20,"https://www.lawandgood.com/posts/lawyer-column/%EA%B8%B0%ED%83%80-%EB%B2%94%EC%A3%84/lc-2772"
42,"신상정보등록 후기",390,50,1,"₩2.20",6,20,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-3707"
43,"통매음 벌금",320,8,8,"₩9.13",25,26,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-6787"
44,"카메라등이용촬영죄",320,9,6,"₩8.96",41,44,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-673"
45,"통 매음 사례",320,19,1,"₩3.43",15,18,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4742"
46,"경찰 포렌식 기간",320,7,10,"₩9.75",7,16,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-524"
47,"통매음 사례",320,16,1,"₩2.66",17,24,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4778"
48,"통매음 신고하는법",320,5,15,"₩4.46",35,7,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4203"
49,"통 매음 벌금",320,10,5,"₩15.43",12,17,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4687"
50,"성폭행 뜻",320,46,1,"₩0.00",1,18,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4272"
51,"음란물 유포",320,33,1,"₩7.42",30,28,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4922"
52,"아청 물 시청 처벌 사례",320,19,1,"₩5.08",23,12,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-307"
53,"통 매음 신고하는 법",320,5,15,"₩4.46",35,7,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4203"
54,"건조물침입",260,19,1,"₩2.59",4,33,"https://www.lawandgood.com/posts/quotation-content/%EC%A3%BC%EA%B1%B0%EC%B9%A8%EC%9E%85/qc-1232"
55,"성범죄변호사 선임 비용",260,11,4,"₩12.85",81,32,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2542"
56,"구속영장 실질심사",260,79,1,"₩1.16",6,20,"https://www.lawandgood.com/posts/lawyer-column/%EA%B8%B0%ED%83%80-%EB%B2%94%EC%A3%84/lc-1746"
57,"라인 영상구매 처벌",260,9,11,"₩5.35",36,24,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-7964"
58,"구속 영장 실질 심사",260,97,1,"₩15.57",11,9,"https://www.lawandgood.com/posts/lawyer-column/%EA%B8%B0%ED%83%80-%EB%B2%94%EC%A3%84/lc-1746"
59,"건조물침입죄",260,28,1,"₩12.79",5,33,"https://www.lawandgood.com/posts/quotation-content/%EC%A3%BC%EA%B1%B0%EC%B9%A8%EC%9E%85/qc-1232"
60,"성범죄 변호사 선임비용",260,11,3,"₩12.85",81,38,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2542"
61,"기만 기망",260,39,1,"₩0.00",1,18,"https://www.lawandgood.com/posts/quotation-content/%EC%82%AC%EA%B8%B0/qc-24798"
62,"통매음 고소장",260,13,2,"₩2.04",21,25,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4203"
63,"강제추행변호사",260,34,1,"₩74.12",74,54,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4942"
64,"강제추행죄 초범",260,13,2,"₩4.72",50,34,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-3740"
65,"라인 영상 구매 처벌",260,7,8,"₩5.35",36,16,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-7964"
66,"지하철 추행",260,22,1,"₩2.69",19,24,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-1166"
67,"성범죄 변호사 선임 비용",260,13,5,"₩12.85",81,40,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2542"
68,"지하철 추행",260,22,1,"₩2.69",19,24,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-1166"
69,"건조물 침입",260,23,1,"₩2.59",4,20,"https://www.lawandgood.com/posts/quotation-content/%EC%A3%BC%EA%B1%B0%EC%B9%A8%EC%9E%85/qc-1232"
70,"경찰 조사 후기",260,26,1,"₩0.02",5,15,"https://www.lawandgood.com/posts/lawyer-column/%EA%B8%B0%ED%83%80-%EB%B2%94%EC%A3%84/lc-1101"
71,"경찰조사 후기",260,24,1,"₩0.02",5,20,"https://www.lawandgood.com/posts/lawyer-column/%EA%B8%B0%ED%83%80-%EB%B2%94%EC%A3%84/lc-1101"
72,"통매음 초범 벌금",260,2,42,"₩3.56",27,22,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4687"
73,"준강제추행",260,5,12,"₩6.97",47,46,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-199"
74,"주거침입 합의금",320,6,12,"₩2.20",15,23,"https://www.lawandgood.com/posts/quotation-content/%EC%A3%BC%EA%B1%B0%EC%B9%A8%EC%9E%85/qc-19811"
75,"미성년자 통 매음",210,14,2,"₩11.84",36,24,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-14621"
76,"카메라 등이용촬영죄 판례",210,26,0,"₩2.68",32,23,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4371"
77,"카메라 등이용촬영죄 판례",210,26,0,"₩2.68",32,23,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4371"
78,"입건 전 조사 종결",210,22,0,"₩4.45",5,7,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-5759"
79,"미성년자 의제",170,35,0,"₩12.34",15,23,"https://www.lawandgood.com/posts/legal-wiki/%EC%84%B1%EB%B2%94%EC%A3%84/lw-62"
80,"성범죄 기소유예 기록",210,2,34,"₩4.35",25,21,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2561"
81,"통매음 합의",210,7,5,"₩4.41",21,25,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4946"
82,"통 매음 처벌",210,20,1,"₩16.62",33,23,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4500"
83,"미성년자 의제 디시",210,61,0,"₩5.81",10,17,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-6118"
84,"폭행미수",210,7,7,"₩1.27",2,32,"https://www.lawandgood.com/posts/quotation-content/%ED%8F%AD%ED%96%89-%EC%83%81%ED%95%B4/qc-30326"
85,"위력 뜻",210,14,1,"₩0.00",1,18,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-4272"
86,"개인정보 유포 처벌 사례",170,53,0,"₩2.63",13,9,"https://www.lawandgood.com/posts/quotation-content/%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4/qc-5804"
87,"주거침입처벌",260,4,20,"₩1.80",5,32,"https://www.lawandgood.com/posts/lawyer-column/%EC%A3%BC%EA%B1%B0%EC%B9%A8%EC%9E%85/lc-3528"
88,"폭행 미수",210,8,4,"₩1.27",2,19,"https://www.lawandgood.com/posts/quotation-content/%ED%8F%AD%ED%96%89-%EC%83%81%ED%95%B4/qc-30326"
89,"성범죄 종류",210,58,0,"₩2.22",23,36,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-7131"
90,"경찰 조사 과정",210,29,0,"₩1.73",12,17,"https://www.lawandgood.com/posts/lawyer-column/%EA%B8%B0%ED%83%80-%EB%B2%94%EC%A3%84/lc-1101"
91,"업소 단속 초범",210,1,64,"₩0.00",1,33,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-10037"
92,"성범죄종류",210,79,0,"₩2.22",23,36,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-1995"
93,"구드 아청",210,8,4,"₩1.11",2,19,"https://www.lawandgood.com/posts/quotation-content/%EC%84%B1%EB%B2%94%EC%A3%84/qc-4091"
94,"즐톡 경찰 수사",260,33,0,"₩58.53",10,17,"https://www.lawandgood.com/posts/legal-wiki/%EC%84%B1%EB%B2%94%EC%A3%84/lw-6"
95,"신상정보 등록 면제 신청",210,75,0,"₩3.33",7,8,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-3707"
96,"모텔 녹음",260,62,0,"₩0.38",2,19,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-135"
97,"입건전 조사 종결",210,39,0,"₩4.45",5,15,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-5759"
98,"동의 없이 사진 촬영",210,61,0,"₩0.00",1,5,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-612"
99,"성범죄변호사 선임 비용 디시",210,20,1,"₩13.20",68,26,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2542"
100,"성범죄자 신상공개 기준",210,43,0,"₩4.48",9,16,"https://www.lawandgood.com/posts/lawyer-column/%EC%84%B1%EB%B2%94%EC%A3%84/lc-2210"
