No,Keyword,Volume,Position,Est. Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
37,"특정 성",590,1,179,"₩1.73",1,19,"https://namu.wiki/w/%ED%94%BC%ED%95%B4%EC%9E%90%20%ED%8A%B9%EC%A0%95%EC%84%B1"
38,"특정성 성립",590,1,179,"₩1.01",4,20,"https://namu.wiki/w/%ED%94%BC%ED%95%B4%EC%9E%90%20%ED%8A%B9%EC%A0%95%EC%84%B1"
39,"이수 성범죄",590,1,179,"₩0.00",1,19,"https://namu.wiki/w/%EC%9D%B4%EC%88%98%20%EC%84%B1%EB%A7%A4%EB%A7%A4%20%EC%82%AC%EA%B1%B4"
40,"만 16세 이상 합의",590,4,39,"₩8.33",15,33,"https://namu.wiki/w/%EB%AF%B8%EC%84%B1%EB%85%84%EC%9E%90%EC%9D%98%EC%A0%9C%EA%B0%95%EA%B0%84%EC%A3%84"
41,"위계 뜻",590,1,179,"₩0.00",1,18,"https://namu.wiki/w/%EC%9C%84%EA%B3%84"
42,"특정성",590,1,179,"₩1.73",1,32,"https://namu.wiki/w/%ED%94%BC%ED%95%B4%EC%9E%90%20%ED%8A%B9%EC%A0%95%EC%84%B1"
43,"지인 합성 처벌 디시",590,15,3,"₩0.00",2,6,"https://namu.wiki/w/%EB%B6%88%EB%B2%95%EC%B4%AC%EC%98%81"
44,"랜덤 비밀번호",480,49,1,"₩0.00",1,18,"https://namu.wiki/w/%EB%B9%84%EB%B0%80%EB%B2%88%ED%98%B8"
45,"음란물 유포 죄",480,1,146,"₩30.81",36,24,"https://namu.wiki/w/%EC%9D%8C%EB%9E%80%EB%AC%BC%20%EC%9C%A0%ED%8F%AC%EC%A3%84"
46,"사이버 명예훼손 사례",480,6,16,"₩0.45",10,17,"https://namu.wiki/w/%EC%82%AC%EC%9D%B4%EB%B2%84%20%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90"
47,"랜덤비밀번호",480,51,1,"₩0.28",1,32,"https://namu.wiki/w/%EB%B9%84%EB%B0%80%EB%B2%88%ED%98%B8"
48,"있었습니다",480,12,5,"₩0.00",1,31,"https://namu.wiki/w/%EA%B7%B8%EB%A0%87%EA%B2%8C%20%EC%83%9D%EA%B0%81%ED%95%98%EB%8D%98%20%EC%8B%9C%EA%B8%B0%EA%B0%80%20%EC%A0%80%EC%97%90%EA%B2%8C%EB%8F%84%20%EC%9E%88%EC%97%88%EC%8A%B5%EB%8B%88%EB%8B%A4"
49,"트위터 간단 경찰",480,12,4,"₩17.86",2,37,"https://namu.wiki/w/%EC%A1%B0%EA%B1%B4%EB%A7%8C%EB%82%A8"
50,"법무",480,1,146,"₩4.91",9,8,"https://namu.wiki/w/%EB%B2%95%EB%AC%B4"
51,"마약 전문 변호사",320,97,1,"₩39.85",22,20,"https://namu.wiki/w/%ED%95%98%EC%9D%BC(%EB%B0%A9%EC%86%A1%EC%9D%B8)"
52,"아청",480,1,111,"₩16.32",9,34,"https://namu.wiki/w/%EC%95%84%EB%8F%99%C2%B7%EC%B2%AD%EC%86%8C%EB%85%84%EC%9D%98%20%EC%84%B1%EB%B3%B4%ED%98%B8%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
53,"성희롱 뜻",480,2,146,"₩0.00",1,18,"https://namu.wiki/w/%EC%84%B1%ED%9D%AC%EB%A1%B1"
54,"카촬죄",480,25,1,"₩36.56",56,49,"https://namu.wiki/w/%EB%B6%88%EB%B2%95%EC%B4%AC%EC%98%81"
55,"추행",480,1,146,"₩2.61",9,10,"https://namu.wiki/w/%EC%B6%94%ED%96%89"
56,"그루밍 성범죄",480,5,23,"₩23.11",17,24,"https://namu.wiki/w/%EA%B7%B8%EB%A3%A8%EB%B0%8D"
57,"위력",390,1,119,"₩0.00",1,31,"https://namu.wiki/w/%EC%9C%84%EB%A0%A5"
58,"금고형 벌금형 차이",390,4,26,"₩0.00",1,13,"https://namu.wiki/w/%EA%B8%88%EA%B3%A0(%ED%98%95%EB%B2%8C)"
59,"무고죄 합의금",390,10,4,"₩1.77",13,22,"https://namu.wiki/w/%EB%AC%B4%EA%B3%A0%EC%A3%84"
60,"성인 만남",390,1,90,"₩0.75",63,37,"https://namu.wiki/w/%EC%A1%B0%EA%B1%B4%EB%A7%8C%EB%82%A8"
61,"음행",390,10,6,"₩0.00",1,31,"https://namu.wiki/w/%EC%9D%8C%ED%96%89%EB%A7%A4%EA%B0%9C%EC%A3%84"
62,"딥페이크 처벌 기준",390,26,1,"₩1.80",12,17,"https://namu.wiki/w/%EB%94%A5%ED%8E%98%EC%9D%B4%ED%81%AC/%EC%84%B1%EB%B2%94%EC%A3%84"
63,"강제 추행죄",390,1,90,"₩8.22",41,36,"https://namu.wiki/w/%EA%B0%95%EC%A0%9C%EC%B6%94%ED%96%89%EC%A3%84"
64,"공연히 뜻",390,23,1,"₩0.00",1,18,"https://namu.wiki/w/%EB%AA%85%EC%98%88%ED%9B%BC%EC%86%90%EC%A3%84"
65,"신상정보",320,6,15,"₩2.66",2,32,"https://namu.wiki/w/%EC%84%B1%EB%B2%94%EC%A3%84%EC%9E%90%20%EC%8B%A0%EC%83%81%EC%A0%95%EB%B3%B4%20%EB%93%B1%EB%A1%9D%EC%A0%9C%EB%8F%84"
66,"거짓말탐지기 조사후기",320,16,1,"₩0.32",5,20,"https://namu.wiki/w/%EA%B1%B0%EC%A7%93%EB%A7%90%20%ED%83%90%EC%A7%80%EA%B8%B0"
67,"법무 법인 정세",320,95,1,"₩4.70",6,15,"https://namu.wiki/w/%ED%95%9C%EB%8F%99%EC%88%98"
68,"신상 정보 등록",320,3,31,"₩2.13",4,15,"https://namu.wiki/w/%EC%84%B1%EB%B2%94%EC%A3%84%EC%9E%90%20%EC%8B%A0%EC%83%81%EC%A0%95%EB%B3%B4%20%EB%93%B1%EB%A1%9D%EC%A0%9C%EB%8F%84"
69,"신상정보등록 후기",390,6,11,"₩2.20",6,20,"https://namu.wiki/w/%EC%84%B1%EB%B2%94%EC%A3%84%EC%9E%90%20%EC%8B%A0%EC%83%81%EC%A0%95%EB%B3%B4%20%EB%93%B1%EB%A1%9D%EC%A0%9C%EB%8F%84"
70,"통매음 벌금",320,3,52,"₩9.13",25,26,"https://namu.wiki/w/%ED%86%B5%EC%8B%A0%EB%A7%A4%EC%B2%B4%EC%9D%B4%EC%9A%A9%EC%9D%8C%EB%9E%80%EC%A3%84"
71,"감명 아",320,1,97,"₩0.00",1,18,"https://namu.wiki/w/%EB%AA%85%EC%95%84%EC%B8%84"
72,"통 매음 사례",320,37,1,"₩3.43",15,18,"https://namu.wiki/w/%ED%86%B5%EC%8B%A0%EB%A7%A4%EC%B2%B4%EC%9D%B4%EC%9A%A9%EC%9D%8C%EB%9E%80%EC%A3%84"
73,"성범죄 무고 비율",320,2,97,"₩2.05",16,18,"https://namu.wiki/w/%EC%84%B1%ED%8F%AD%EB%A0%A5%20%EB%AC%B4%EA%B3%A0%EC%A3%84"
74,"카메라등이용촬영죄",320,3,52,"₩8.96",41,44,"https://namu.wiki/w/%EB%B6%88%EB%B2%95%EC%B4%AC%EC%98%81"
75,"경찰 포렌식 기간",320,38,1,"₩9.75",7,16,"https://namu.wiki/w/%EB%94%94%EC%A7%80%ED%84%B8%20%ED%8F%AC%EB%A0%8C%EC%8B%9D"
76,"준 카메라",260,74,1,"₩3.15",1,19,"https://namu.wiki/w/%EC%A0%9C4%EC%9D%98%20%EB%B2%BD"
77,"통매음 사례",320,25,1,"₩2.66",17,24,"https://namu.wiki/w/%ED%86%B5%EC%8B%A0%EB%A7%A4%EC%B2%B4%EC%9D%B4%EC%9A%A9%EC%9D%8C%EB%9E%80%EC%A3%84"
78,"감명아",320,1,97,"₩0.00",1,31,"https://namu.wiki/w/%EB%AA%85%EC%95%84%EC%B8%84"
79,"아청물 시청 처벌 사례",320,4,21,"₩2.82",28,25,"https://namu.wiki/w/%EC%95%84%EB%8F%99%C2%B7%EC%B2%AD%EC%86%8C%EB%85%84%EC%9D%98%20%EC%84%B1%EB%B3%B4%ED%98%B8%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0/%EC%B2%98%EB%B2%8C%20%EB%8C%80%EC%83%81"
80,"구류 뜻",320,1,97,"₩0.00",1,18,"https://namu.wiki/w/%EA%B5%AC%EB%A5%98"
81,"성폭행 뜻",320,1,97,"₩0.00",1,18,"https://namu.wiki/w/%EC%84%B1%ED%8F%AD%ED%96%89"
82,"인연이 아니라는 증거",320,16,1,"₩0.00",1,13,"https://namu.wiki/w/%ED%8F%AC%EB%A1%9C%EC%9D%98%20%EC%9D%B8%EC%97%B0%20~%EB%B9%BC%EC%95%97%EA%B8%B4%20%ED%95%99%EC%9B%90%EC%9D%84%20%EC%9A%B8%EB%A6%AC%EB%8A%94%20%EC%B2%98%EB%85%80%EC%9D%98%20%EC%8B%A0%EC%9D%8C~"
83,"통 매음 벌금",320,3,40,"₩15.43",12,17,"https://namu.wiki/w/%ED%86%B5%EC%8B%A0%EB%A7%A4%EC%B2%B4%EC%9D%B4%EC%9A%A9%EC%9D%8C%EB%9E%80%EC%A3%84"
84,"통매음 신고하는법",320,11,3,"₩4.46",35,7,"https://namu.wiki/w/%ED%86%B5%EC%8B%A0%EB%A7%A4%EC%B2%B4%EC%9D%B4%EC%9A%A9%EC%9D%8C%EB%9E%80%EC%A3%84"
85,"음란물 유포",320,2,74,"₩7.42",30,28,"https://namu.wiki/w/%EC%9D%8C%EB%9E%80%EB%AC%BC%20%EC%9C%A0%ED%8F%AC%EC%A3%84"
86,"마커스 성범죄",320,3,31,"₩1.03",1,19,"https://namu.wiki/w/%EC%8B%AC%EC%A2%85%ED%98%B8?rev=19"
87,"신상 정보",320,4,31,"₩2.66",2,19,"https://namu.wiki/w/%EC%84%B1%EB%B2%94%EC%A3%84%EC%9E%90%20%EC%8B%A0%EC%83%81%EC%A0%95%EB%B3%B4%20%EB%93%B1%EB%A1%9D%EC%A0%9C%EB%8F%84"
88,"통 매음 신고하는 법",320,11,3,"₩4.46",35,7,"https://namu.wiki/w/%ED%86%B5%EC%8B%A0%EB%A7%A4%EC%B2%B4%EC%9D%B4%EC%9A%A9%EC%9D%8C%EB%9E%80%EC%A3%84"
89,"아청 물 시청 처벌 사례",320,4,21,"₩5.08",23,12,"https://namu.wiki/w/%EC%95%84%EB%8F%99%C2%B7%EC%B2%AD%EC%86%8C%EB%85%84%EC%9D%98%20%EC%84%B1%EB%B3%B4%ED%98%B8%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0/%EC%B2%98%EB%B2%8C%20%EB%8C%80%EC%83%81"
90,"신상정보등록",320,3,31,"₩2.13",4,33,"https://namu.wiki/w/%EC%84%B1%EB%B2%94%EC%A3%84%EC%9E%90%20%EC%8B%A0%EC%83%81%EC%A0%95%EB%B3%B4%20%EB%93%B1%EB%A1%9D%EC%A0%9C%EB%8F%84"
91,"변호사 수임",260,99,1,"₩22.94",5,20,"https://namu.wiki/w/%EA%B9%80%C2%B7%EC%9E%A5%20%EB%B2%95%EB%A5%A0%EC%82%AC%EB%AC%B4%EC%86%8C"
92,"구속영장 실질심사",260,2,42,"₩1.16",6,20,"https://namu.wiki/w/%EC%98%81%EC%9E%A5%EC%8B%A4%EC%A7%88%EC%8B%AC%EC%82%AC"
93,"건조물침입",260,3,25,"₩2.59",4,33,"https://namu.wiki/w/%EC%A3%BC%EA%B1%B0%EC%B9%A8%EC%9E%85%EC%A3%84"
94,"로드뷰 지도",260,14,1,"₩0.30",18,26,"https://namu.wiki/w/%EA%B5%AC%EA%B8%80%20%EC%8A%A4%ED%8A%B8%EB%A6%AC%ED%8A%B8%20%EB%B7%B0"
95,"구속 영장 실질 심사",260,2,42,"₩15.57",11,9,"https://namu.wiki/w/%EC%98%81%EC%9E%A5%EC%8B%A4%EC%A7%88%EC%8B%AC%EC%82%AC"
96,"감명받다",260,82,1,"₩0.00",1,31,"https://namu.wiki/w/%ED%8F%AD%EC%8B%9C(%EA%B0%80%EC%88%98)?rev=37"
97,"라인 영상구매 처벌",260,36,1,"₩5.35",36,24,"https://namu.wiki/w/%EC%95%84%EB%8F%99%C2%B7%EC%B2%AD%EC%86%8C%EB%85%84%EC%9D%98%20%EC%84%B1%EB%B3%B4%ED%98%B8%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0/%EC%B2%98%EB%B2%8C%20%EB%8C%80%EC%83%81"
98,"건조물침입죄",260,50,1,"₩12.79",5,33,"https://namu.wiki/w/%EC%95%BC%EA%B0%84%EC%A3%BC%EA%B1%B0%EC%B9%A8%EC%9E%85%EC%A0%88%EB%8F%84%EC%A3%84"
99,"형사 옷차림",260,9,5,"₩0.00",1,18,"https://namu.wiki/w/%EC%82%AC%EB%B3%B5%20%EA%B2%BD%EC%B0%B0"
100,"성범죄 변호사 선임비용",260,60,1,"₩12.85",81,38,"https://namu.wiki/w/%ED%98%95%EC%82%AC%EC%A0%84%EB%AC%B8%EB%B3%80%ED%98%B8%EC%82%AC"
